age,zip_code,salary,medical_risk
29,58321,68450,Low
45,17284,119300,Medium
38,65491,87520,Low
52,48017,132640,High
24,79325,55870,Low
67,25168,102340,Medium
41,91642,145780,High
33,70455,76590,Low
58,32849,112460,Medium
27,84516,91730,Low
73,19374,126850,High
49,56281,104920,Medium
36,47193,138240,High
22,68547,62480,Low
61,21836,95840,Medium
54,73095,151320,High
31,59472,87410,Low
46,30718,117650,Medium
65,88924,129430,High
28,14267,79380,Low
43,52681,108540,Medium
57,67425,141760,High
35,38194,99270,Low
70,91583,121690,Medium
26,24759,88630,Low
